
 num     #instances         #bytes  class name
----------------------------------------------
   1:        224975       45451016  [C
   2:         11959       11034344  [I
   3:          7214        8148360  [B
   4:        144260        3462240  java.lang.String
   5:         24330        2141040  java.lang.reflect.Method
   6:         61948        1277864  [Ljava.lang.Class;
   7:         17856        1098360  [Ljava.lang.Object;
   8:         15631        1000384  java.net.URL
   9:          9637         837632  [Ljava.util.HashMap$Node;
  10:          7081         785888  java.lang.Class
  11:         21055         673760  java.util.concurrent.ConcurrentHashMap$Node
  12:         20648         660736  java.util.HashMap$Node
  13:          5776         461528  [S
  14:         14190         454080  org.springframework.boot.loader.jar.StringSequence
  15:         11139         445560  java.util.LinkedHashMap$Entry
  16:         10897         348704  java.lang.ref.WeakReference
  17:         14190         340560  org.springframework.boot.loader.jar.JarURLConnection$JarEntryName
  18:          8057         329248  [Ljava.lang.reflect.Method;
  19:          8123         324920  java.util.HashMap$KeyIterator
  20:          6700         321600  java.util.HashMap
  21:          5194         290864  java.util.LinkedHashMap
  22:         16006         256096  java.lang.Object
  23:          7799         249568  java.util.ArrayList$Itr
  24:          3048         219456  java.lang.reflect.Field
  25:          3879         217224  java.util.concurrent.ConcurrentHashMap$KeyIterator
  26:          5417         216680  java.lang.ref.SoftReference
  27:           166         188512  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  28:          7708         184992  java.util.ArrayList
  29:          3704         177792  org.springframework.core.ResolvableType
  30:          5402         173480  [Ljava.lang.String;
  31:          6625         159000  java.util.Collections$UnmodifiableCollection$1
  32:          3088         148224  java.util.zip.Inflater
  33:          2619         146664  java.beans.MethodDescriptor
  34:          6110         146640  java.lang.StringBuilder
  35:          5917         142008  java.beans.MethodRef
  36:          2184         139776  org.springframework.asm.Label
  37:          6330         135592  [Ljava.lang.reflect.Type;
  38:          1633         130640  java.lang.reflect.Constructor
  39:          5362         128688  java.lang.Class$MethodArray
  40:          3172         126880  java.lang.ref.Finalizer
  41:          2304         110592  org.springframework.util.ConcurrentReferenceHashMap$SoftEntryReference
  42:          3365         107680  java.util.LinkedHashMap$LinkedValueIterator
  43:          1895         106120  org.springframework.asm.Item
  44:          3383          97392  [Ljava.lang.annotation.Annotation;
  45:          1993          95664  org.springframework.asm.Frame
  46:          3974          95376  org.springframework.core.annotation.AnnotatedElementUtils$MergedAnnotationAttributesProcessor
  47:          2304          92160  org.springframework.util.ConcurrentReferenceHashMap$Segment
  48:          1143          91440  org.springframework.boot.loader.jar.JarURLConnection
  49:          2211          88440  java.util.TreeMap$Entry
  50:          2529          88200  [Lorg.springframework.util.ConcurrentReferenceHashMap$Reference;
  51:          1532          85792  jdk.internal.org.objectweb.asm.Item
  52:          2667          85344  java.util.concurrent.locks.ReentrantLock$NonfairSync
  53:           747          83664  org.springframework.boot.loader.jar.JarEntry
  54:          5103          81648  java.util.HashSet
  55:          2463          78816  java.lang.ref.ReferenceQueue
  56:          3088          74112  java.util.zip.ZStreamRef
  57:          1280          71680  java.lang.Class$ReflectionData
  58:           710          68160  org.springframework.beans.GenericTypeAwarePropertyDescriptor
  59:           874          62928  java.beans.PropertyDescriptor
  60:          2596          62304  java.util.LinkedList$Node
  61:          1799          57568  java.util.LinkedList
  62:           898          57472  org.springframework.core.MethodParameter
  63:          1022          57232  java.lang.invoke.MemberName
  64:           779          56088  org.springframework.core.annotation.AnnotationAttributes
  65:          2318          55632  sun.reflect.generics.tree.SimpleClassTypeSignature
  66:          3476          55616  java.lang.Integer
  67:          2304          55296  org.springframework.util.ConcurrentReferenceHashMap$ReferenceManager
  68:          3241          55232  [Ljava.lang.reflect.TypeVariable;
  69:          1212          48480  java.lang.ClassNotFoundException
  70:            50          47200  [Ljdk.internal.org.objectweb.asm.Item;
  71:          1167          46680  java.lang.invoke.MethodType
  72:          2381          44016  [Lsun.reflect.generics.tree.TypeArgument;
  73:           906          43488  org.apache.tomcat.util.modeler.AttributeInfo
  74:          1743          41832  org.springframework.asm.Edge
  75:          1304          41728  org.springframework.asm.Type
  76:          1252          40064  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry
  77:          2465          39440  java.lang.ref.ReferenceQueue$Lock
  78:          1601          38424  org.springframework.util.ConcurrentReferenceHashMap$Entry
  79:           951          38040  java.util.HashMap$ValueIterator
  80:          2159          34544  sun.reflect.generics.tree.ClassTypeSignature
  81:          1060          33920  java.util.LinkedHashMap$LinkedEntryIterator
  82:          2101          33616  sun.reflect.ConstantPool
  83:           200          33600  org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader$ConfigurationClassBeanDefinition
  84:          1961          31376  java.util.LinkedHashSet
  85:            30          31200  [[C
  86:          1891          30256  org.springframework.core.ResolvableType$DefaultVariableResolver
  87:          1164          27936  java.net.URLClassLoader$1
  88:           856          27392  java.util.AbstractList$Itr
  89:           119          26656  jdk.internal.org.objectweb.asm.MethodWriter
  90:           830          26560  java.util.LinkedHashMap$LinkedKeyIterator
  91:           474          26544  java.lang.Package
  92:          1081          26040  [Lorg.springframework.core.ResolvableType;
  93:            31          25128  [Lorg.springframework.asm.Item;
  94:           752          24064  org.springframework.boot.loader.jar.AsciiBytes
  95:           493          23664  java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync
  96:           928          22272  sun.reflect.annotation.AnnotationInvocationHandler
  97:           847          21856  [Ljava.lang.CharSequence;
  98:           910          21840  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl
  99:           135          21600  org.springframework.beans.factory.support.RootBeanDefinition
 100:          1294          20704  java.util.LinkedHashMap$LinkedKeySet
 101:           970          20688  [Lsun.reflect.generics.tree.FieldTypeSignature;
 102:           639          20448  java.util.RegularEnumSet
 103:           319          20416  java.util.concurrent.ConcurrentHashMap
 104:           488          20272  [Ljava.lang.reflect.Field;
 105:           844          20256  sun.reflect.generics.factory.CoreReflectionFactory
 106:           832          19368  [Ljava.lang.reflect.Constructor;
 107:           403          19344  org.apache.tomcat.util.modeler.OperationInfo
 108:           783          18408  [Lorg.springframework.asm.Type;
 109:           236          18320  [Ljava.beans.MethodDescriptor;
 110:           560          17920  org.springframework.core.SerializableTypeWrapper$MethodParameterTypeProvider
 111:           447          17880  java.util.WeakHashMap$Entry
 112:           444          17760  org.springframework.util.ConcurrentReferenceHashMap$Segment$1
 113:           731          17544  org.springframework.cglib.core.Signature
 114:          1090          17440  org.springframework.core.annotation.AnnotationUtils$DefaultValueHolder
 115:           538          17216  javax.management.MBeanAttributeInfo
 116:           717          17208  java.util.Arrays$ArrayList
 117:            92          16728  [Z
 118:           687          16488  java.lang.Class$AnnotationData
 119:           510          16320  java.lang.invoke.DirectMethodHandle
 120:           679          16296  java.util.concurrent.CopyOnWriteArrayList$COWIterator
 121:           338          16224  ch.qos.logback.classic.Logger
 122:           643          15432  org.apache.catalina.LifecycleEvent
 123:           439          15400  [Ljava.beans.PropertyDescriptor;
 124:           638          15312  java.util.jar.Attributes$Name
 125:           304          14592  java.util.TreeMap
 126:           596          14304  sun.reflect.NativeConstructorAccessorImpl
 127:           444          14208  org.springframework.util.ConcurrentReferenceHashMap$1
 128:           436          13952  java.util.LinkedList$ListItr
 129:           431          13792  java.util.Hashtable$Entry
 130:           650          13552  [Lorg.apache.catalina.Container;
 131:           543          13032  sun.reflect.generics.scope.ClassScope
 132:           317          12680  sun.reflect.generics.repository.MethodRepository
 133:            56          12544  org.springframework.asm.MethodWriter
 134:           388          12416  org.springframework.boot.context.properties.source.ConfigurationPropertyName
 135:           387          12384  java.lang.invoke.LambdaForm$Name
 136:           698          12312  [Lsun.reflect.generics.tree.FormalTypeParameter;
 137:           509          12216  sun.misc.ProxyGenerator$ConstantPool$IndirectEntry
 138:           202          12120  [Ljava.lang.ref.SoftReference;
 139:           751          12016  java.util.LinkedHashMap$LinkedEntrySet
 140:           375          12000  sun.reflect.generics.repository.ClassRepository
 141:           494          11856  java.util.concurrent.locks.ReentrantReadWriteLock
 142:           729          11664  java.util.LinkedHashMap$LinkedValues
 143:           144          11520  [Lorg.springframework.util.ConcurrentReferenceHashMap$Segment;
 144:           236          11328  java.beans.BeanDescriptor
 145:           283          11320  javax.management.MBeanOperationInfo
 146:           470          11280  org.springframework.core.SerializableTypeWrapper$$Lambda$14/683287027
 147:           434          10968  [Lorg.springframework.boot.context.properties.source.PropertyMapping;
 148:           114          10944  sun.util.calendar.Gregorian$Date
 149:           341          10912  sun.misc.FDBigInteger
 150:           130          10880  [Ljava.util.Hashtable$Entry;
 151:           446          10720  [Lorg.springframework.util.ConcurrentReferenceHashMap$TaskOption;
 152:           222          10656  java.nio.HeapByteBuffer
 153:           442          10608  org.springframework.core.annotation.AnnotationUtils$AnnotationCacheKey
 154:           323          10336  sun.reflect.generics.tree.MethodTypeSignature
 155:           620           9920  sun.reflect.DelegatingConstructorAccessorImpl
 156:           412           9888  org.springframework.core.MethodIntrospector$$Lambda$291/487075464
 157:           204           9792  org.springframework.boot.loader.jar.ZipInflaterInputStream
 158:            26           9776  java.lang.Thread
 159:           170           9520  java.util.ResourceBundle$CacheKey
 160:           297           9504  org.apache.tomcat.util.modeler.ParameterInfo
 161:           396           9504  org.springframework.boot.context.properties.source.PropertyMapping
 162:           236           9440  java.beans.GenericBeanInfo
 163:           145           9280  java.beans.Introspector
 164:           375           9000  sun.reflect.generics.tree.ClassSignature
 165:            78           8928  [Ljava.util.WeakHashMap$Entry;
 166:           279           8928  org.springframework.boot.loader.data.RandomAccessDataFile
 167:           371           8904  org.springframework.beans.BeanMetadataAttribute
 168:           121           8712  org.springframework.core.type.classreading.AnnotationMetadataReadingVisitor
 169:           270           8640  org.springframework.cglib.core.ReflectUtils$5
 170:           403           8408  [Lorg.apache.tomcat.util.modeler.ParameterInfo;
 171:           149           8344  java.util.concurrent.ConcurrentHashMap$ValueIterator
 172:           504           8064  java.lang.Short
 173:           251           8032  java.lang.NoSuchMethodException
 174:           124           7936  jdk.internal.org.objectweb.asm.Label
 175:           375           7912  [Lsun.reflect.generics.tree.ClassTypeSignature;
 176:           494           7904  java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock
 177:           494           7904  java.util.concurrent.locks.ReentrantReadWriteLock$Sync$ThreadLocalHoldCounter
 178:           494           7904  java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock
 179:           317           7608  sun.reflect.generics.scope.MethodScope
 180:           158           7584  java.util.ResourceBundle$BundleReference
 181:            45           7560  jdk.internal.org.objectweb.asm.ClassWriter
 182:           156           7488  java.lang.invoke.LambdaForm
 183:           323           7480  [Lsun.reflect.generics.tree.TypeSignature;
 184:           155           7440  java.util.logging.LogManager$LoggerWeakRef
 185:           166           7352  [Ljava.lang.invoke.LambdaForm$Name;
 186:           225           7200  javax.management.MBeanParameterInfo
 187:           127           7112  java.lang.invoke.MethodTypeForm
 188:           134           6832  [Ljava.security.ProtectionDomain;
 189:           121           6776  sun.util.calendar.ZoneInfo
 190:           423           6768  java.util.Collections$UnmodifiableSet
 191:           279           6696  sun.reflect.generics.visitor.Reifier
 192:           275           6600  java.util.concurrent.CopyOnWriteArrayList
 193:           269           6456  org.springframework.core.convert.converter.GenericConverter$ConvertiblePair
 194:           396           6336  java.util.HashMap$KeySet
 195:           264           6336  jdk.internal.org.objectweb.asm.ByteVector
 196:           113           6328  org.springframework.core.type.classreading.MethodMetadataReadingVisitor
 197:           196           6272  java.lang.reflect.Proxy$Key1
 198:           196           6272  java.security.CodeSource
 199:           392           6272  java.util.HashMap$Values
 200:           256           6144  java.lang.Long
 201:           251           6024  java.lang.StringBuffer
 202:           186           5952  java.lang.reflect.WeakCache$CacheKey
 203:           186           5952  org.apache.logging.slf4j.SLF4JLogger
 204:           184           5888  sun.reflect.generics.reflectiveObjects.WildcardTypeImpl
 205:           144           5760  org.springframework.util.ConcurrentReferenceHashMap
 206:            65           5720  org.springframework.beans.ExtendedBeanInfo$SimplePropertyDescriptor
 207:           179           5512  [J
 208:           170           5440  java.util.ResourceBundle$LoaderReference
 209:            75           5400  java.util.logging.Logger
 210:           135           5400  org.springframework.cglib.core.EmitUtils$14
 211:           167           5376  [Lorg.springframework.asm.Label;
 212:           134           5360  org.springframework.core.SerializableTypeWrapper$MethodInvokeTypeProvider
 213:           330           5280  com.sun.proxy.$Proxy24
 214:           109           5232  java.util.Hashtable
 215:           218           5232  org.springframework.beans.factory.annotation.InjectionMetadata
 216:           215           5160  com.fasterxml.jackson.databind.type.ClassKey
 217:           316           5056  org.apache.commons.logging.LogFactory$Log4jLog
 218:           207           4968  sun.reflect.NativeMethodAccessorImpl
 219:            75           4936  [Ljavax.management.MBeanAttributeInfo;
 220:           204           4896  org.springframework.boot.loader.data.RandomAccessDataFile$DataInputStream
 221:            29           4872  [Ljava.net.URL;
 222:           304           4864  org.springframework.core.SerializableTypeWrapper$$Lambda$15/1793329556
 223:           152           4864  sun.reflect.generics.reflectiveObjects.TypeVariableImpl
 224:           201           4824  sun.reflect.generics.parser.SignatureParser
 225:           299           4784  java.util.concurrent.locks.ReentrantLock
 226:           199           4776  org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcome
 227:           199           4776  org.springframework.boot.autoconfigure.condition.ConditionOutcome
 228:           118           4720  sun.nio.cs.UTF_8$Decoder
 229:           146           4672  java.util.TreeMap$ValueIterator
 230:           189           4536  javax.management.ImmutableDescriptor
 231:           189           4536  sun.reflect.generics.tree.Wildcard
 232:           188           4512  org.apache.logging.log4j.message.DefaultFlowMessageFactory
 233:           112           4480  org.springframework.cglib.core.CodeEmitter
 234:           112           4480  org.springframework.cglib.core.CodeEmitter$State
 235:           183           4392  org.hibernate.validator.internal.engine.constraintvalidation.ClassBasedValidatorDescriptor
 236:           181           4344  java.lang.invoke.LambdaForm$NamedFunction
 237:           107           4280  org.springframework.beans.factory.annotation.InitDestroyAnnotationBeanPostProcessor$LifecycleMetadata
 238:           107           4280  org.springframework.boot.loader.jar.CentralDirectoryFileHeader
 239:           267           4272  org.springframework.core.MethodParameter$$Lambda$115/2088051243
 240:           176           4224  org.springframework.boot.web.server.MimeMappings$Mapping
 241:           264           4224  org.springframework.core.convert.support.GenericConversionService$ConvertersForPair
 242:           131           4192  java.util.TreeMap$KeyIterator
 243:           168           4168  [Ljavax.management.MBeanParameterInfo;
 244:            40           4160  java.lang.invoke.InnerClassLambdaMetafactory
 245:            37           4144  org.springframework.beans.factory.annotation.AnnotatedGenericBeanDefinition
 246:           128           4096  com.sun.jmx.mbeanserver.ConvertingMethod
 247:           256           4096  java.lang.Byte
 248:           170           4080  java.util.BitSet
